"","AREA","INT_SQFT","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","BUILDTYPE","UTILITY_AVAIL","STREET","MZZONE","QS_OVERALL","COMMIS","SALES_PRICE","total_yrs","avg_sqft","oth_chgs","bin_insq","bin_dist","bin_ttl_yrs","ARBT","INBT","TRBT","BRBT","Chrompet.2","Karapakkam.2","Adyar.3","Chrompet.3","Karapakkam.3","KK Nagar.3","Adyar.4","Anna Nagar.4","Chrompet.4","Karapakkam.4","KK Nagar.4","T Nagar.4","Velachery.4","Anna Nagar.5","KK Nagar.5","T Nagar.5","Velachery.5","KK Nagar.6","2.2","3.2","1.3","2.3","3.3","1.4","2.4","3.4","1.5","2.5","3.5","2.6","3.6"
"1180","Chrompet",881,79,1,1,3,"AdjLand","No","Others","NoSewr ","Gravel","RH",4.01,61144,8734920,1825,293.666666666667,2340961,"1","2","1","Chrompet.Others","Others.1","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4217","Anna Nagar",1936,58,2,1,5,"Normal Sale","Yes","Others","AllPub","Paved","RM",3.18,280610,15589440,13870,387.2,4068845,"3","2","2","Anna Nagar.Others","Others.3","Others.5","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"162","Velachery",1824,187,3,2,5,"Normal Sale","No","House","NoSewr ","Paved","I",3.26858033453201,76942,8549060,12045,364.8,2539072,"3","4","2","Velachery.House","House.3","House.5","House.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1393","Velachery",1508,54,2,1,4,"Partial","No","House","ELO","Paved","I",4.54,137816,6890790,17155,377,1998332,"3","2","3","Velachery.House","House.3","House.4","House.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"4745","Chrompet",1238,97,2,1,4,"Normal Sale","No","Commercial","AllPub","Paved","RH",3.46,210217,13138550,12045,309.5,3402886,"2","2","2","Chrompet.Commercial","Commercial.2","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6340","KK Nagar",2363,169,4,2,6,"Family","No","Commercial","NoSewr ","Gravel","RL",4.36,184572,18457180,6935,393.833333333333,6995268,"4","4","1","KK Nagar.Commercial","Commercial.4","Commercial.6","Commercial.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"1643","Anna Nagar",1650,22,1,1,4,"AbNormal","No","Commercial","NoSewr ","NoAccess","RH",2.795,239610,17115030,10585,412.5,5168739,"3","1","2","Anna Nagar.Commercial","Commercial.3","Commercial.4","Commercial.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"3013","KK Nagar",1315,94,1,1,3,"AdjLand","Yes","Commercial","AllPub","Paved","RH",4.3,114421,12713420,7665,438.333333333333,5263357,"2","2","2","KK Nagar.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2361","Velachery",1793,140,2,1,4,"Partial","Yes","House","NoSewr ","NoAccess","A",3.93,62823,6980320,18615,448.25,2198802,"3","3","3","Velachery.House","House.3","House.4","House.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"3835","Chrompet",1294,12,2,1,4,"Family","Yes","Commercial","NoSeWa","Paved","RM",2.6,47114,15704500,5110,323.5,3863312,"2","1","1","Chrompet.Commercial","Commercial.2","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"4927","Anna Nagar",1896,85,2,1,5,"AbNormal","Yes","Commercial","ELO","Paved","RM",3.47,224313,22431260,2920,379.2,6886401,"3","2","1","Anna Nagar.Commercial","Commercial.3","Commercial.5","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5785","Chrompet",1230,17,2,1,4,"Normal Sale","Yes","Commercial","NoSeWa","Gravel","RL",3.07,120948,15118500,8030,307.5,4611147,"2","1","2","Chrompet.Commercial","Commercial.2","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"378","Adyar",1289,70,2,2,4,"Normal Sale","No","Commercial","AllPub","Gravel","RH",2.89,87807,14634500,14600,322.25,4697679,"2","2","2","Adyar.Commercial","Commercial.2","Commercial.4","Commercial.2",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1632","Karapakkam",1208,198,1,1,3,"AbNormal","No","Others","NoSeWa","Gravel","C",4.28,51022,6377750,7665,402.666666666667,2117413,"2","4","2","Karapakkam.Others","Others.2","Others.3","Others.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3187","Adyar",1066,197,1,1,3,"AdjLand","No","Commercial","AllPub","Paved","I",3.63,120637,12063670,13870,355.333333333333,4029265,"2","4","2","Adyar.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"4014","KK Nagar",2461,198,4,2,6,"Family","No","House","AllPub","Paved","RH",3.98,204101,11338920,2190,410.166666666667,3979961,"4","4","1","KK Nagar.House","House.4","House.6","House.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"6948","KK Nagar",2340,88,4,2,6,"Family","Yes","House","NoSeWa","Paved","RL",3.59,180621,12041420,7665,390,3973671,"4","2","2","KK Nagar.House","House.4","House.6","House.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"61","Chrompet",934,11,1,1,3,"AdjLand","Yes","House","NoSeWa","Paved","RM",3.76,58265,9710900,8030,311.333333333333,2855006,"1","1","2","Chrompet.House","House.1","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"3987","Velachery",1747,51,2,1,4,"Partial","Yes","Others","NoSewr ","Gravel","C",3.1,89851,9983410,4745,436.75,2875225,"3","2","1","Velachery.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"673","Chrompet",1083,176,1,1,3,"AbNormal","No","House","NoSewr ","NoAccess","RH",3.95,93023,7155650,9855,361,1896245,"2","4","2","Chrompet.House","House.2","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5778","Karapakkam",686,71,1,1,2,"Partial","No","House","NoSewr ","NoAccess","RL",4.03,42865,4762750,13505,343,1757455,"1","2","2","Karapakkam.House","House.1","House.2","House.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5470","Chrompet",1005,21,1,1,3,"Family","Yes","Others","AllPub","Paved","RM",2.69,168263,10516450,2920,335,3291650,"2","1","1","Chrompet.Others","Others.2","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"2230","Chrompet",812,81,1,1,3,"Partial","Yes","House","AllPub","Gravel","RM",3.21,106297,9663350,1825,270.666666666667,2976316,"1","2","1","Chrompet.House","House.1","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5612","Chrompet",1092,179,1,1,3,"Partial","No","Others","ELO","NoAccess","RL",3.33,63018,7877290,11315,364,2331675,"2","4","2","Chrompet.Others","Others.2","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"338","T Nagar",1949,137,2,1,5,"Partial","Yes","Others","NoSewr ","NoAccess","RM",2.54,216974,14464930,15695,389.8,4252691,"3","3","3","T Nagar.Others","Others.3","Others.5","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6027","Karapakkam",1224,129,1,1,3,"Partial","Yes","Commercial","AllPub","Paved","RM",3.22,277038,11543250,12775,408,4017051,"2","3","2","Karapakkam.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1650","T Nagar",1823,0,2,1,5,"Partial","Yes","Commercial","ELO","NoAccess","RM",2.755,164222,20527770,9490,364.6,4782968,"3","1","2","T Nagar.Commercial","Commercial.3","Commercial.5","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3631","Karapakkam",727,88,1,1,2,"Family","Yes","Others","ELO","Paved","I",3.19,99618,5859875,4745,363.5,2156433,"1","2","1","Karapakkam.Others","Others.1","Others.2","Others.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4590","Karapakkam",671,132,1,1,2,"AdjLand","Yes","Commercial","ELO","Gravel","RM",3.58,223188,9299500,16790,335.5,3989490,"1","3","3","Karapakkam.Commercial","Commercial.1","Commercial.2","Commercial.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2139","Karapakkam",680,100,1,1,2,"Family","No","House","NoSeWa","NoAccess","I",3.59,64676,3404000,16060,340,1351388,"1","2","3","Karapakkam.House","House.1","House.2","House.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5212","Adyar",1151,104,1,1,3,"AdjLand","Yes","Others","ELO","Gravel","RL",2.64,45349,11337335,10585,383.666666666667,3310504,"2","3","2","Adyar.Others","Others.2","Others.3","Others.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1904","Adyar",1045,76,1,1,3,"Family","No","Commercial","ELO","Paved","I",2.95,22660,11329800,7300,348.333333333333,3081706,"2","2","1","Adyar.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4141","KK Nagar",1636,141,2,1,4,"AbNormal","Yes","House","AllPub","Paved","RL",2.75,191070,10056300,9125,409,3992355,"3","3","2","KK Nagar.House","House.3","House.4","House.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6729","KK Nagar",1790,13,3,2,5,"Partial","No","Commercial","NoSewr ","Gravel","RL",3.52,239764,14985280,5110,358,5499598,"3","1","1","KK Nagar.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"954","Adyar",790,102,1,1,2,"AdjLand","No","House","ELO","Gravel","RH",3.13,43979,7329900,14600,395,2352902,"1","3","2","Adyar.House","House.1","House.2","House.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3463","Chrompet",951,96,1,1,3,"Normal Sale","No","Commercial","NoSeWa","NoAccess","RH",3.74,30093,10031100,12410,317,2828769,"1","2","2","Chrompet.Commercial","Commercial.1","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"2724","Chrompet",986,178,1,1,3,"Family","No","Others","ELO","NoAccess","RL",3.06,117216,7814420,5840,328.666666666667,2297439,"1","4","1","Chrompet.Others","Others.1","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7055","Chrompet",1147,191,1,1,3,"Partial","No","Commercial","ELO","Gravel","RM",2.7,173982,13383200,13140,382.333333333333,4028340,"2","4","2","Chrompet.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"684","T Nagar",1867,135,2,1,5,"AbNormal","Yes","Commercial","AllPub","Paved","RL",3.66,219886,21988560,2920,373.4,6948385,"3","3","1","T Nagar.Commercial","Commercial.3","Commercial.5","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"3442","Karapakkam",1091,49,1,1,3,"Normal Sale","Yes","House","ELO","Paved","I",3.21,67095,6709500,4380,363.666666666667,2905218,"2","1","1","Karapakkam.House","House.2","House.3","House.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4887","Chrompet",1067,101,1,1,3,"Partial","Yes","House","ELO","Paved","RL",2.98,44628,8925600,7300,355.666666666667,2133222,"2","3","1","Chrompet.House","House.2","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6955","Chrompet",756,35,1,1,2,"AdjLand","Yes","House","ELO","NoAccess","RM",3.41,84413,8441250,4015,378,2287577,"1","1","1","Chrompet.House","House.1","House.2","House.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1582","Chrompet",1165,108,1,1,3,"Partial","No","House","NoSewr ","NoAccess","RM",3.51,98355,8196250,14235,388.333333333333,2458875,"2","3","2","Chrompet.House","House.2","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3585","Velachery",1847,186,3,2,5,"Partial","Yes","House","NoSeWa","Gravel","RL",3.49,236389,11256610,4745,369.4,4086148,"3","4","1","Velachery.House","House.3","House.5","House.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"5513","Karapakkam",1356,85,2,2,4,"AdjLand","Yes","Others","AllPub","Paved","I",3.05,179900,8177250,12045,339,3270905,"2","2","2","Karapakkam.Others","Others.2","Others.4","Others.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5116","Chrompet",1002,39,1,1,3,"AbNormal","Yes","Commercial","ELO","NoAccess","RM",3.25,161453,12419450,14235,334,3850031,"2","1","2","Chrompet.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1313","Chrompet",1276,92,2,1,4,"Partial","Yes","Others","NoSewr ","NoAccess","RL",3.92,92784,10309370,5475,319,3154665,"2","2","1","Chrompet.Others","Others.2","Others.4","Others.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2297","KK Nagar",2435,47,4,2,6,"Normal Sale","No","House","AllPub","Gravel","RM",3.48,103290,12911300,5475,405.833333333333,5216163,"4","1","1","KK Nagar.House","House.4","House.6","House.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"1375","Karapakkam",1130,130,1,1,3,"Partial","Yes","Others","NoSewr ","Gravel","RH",3.34,177692,8461500,1825,376.666666666667,2462297,"2","3","1","Karapakkam.Others","Others.2","Others.3","Others.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5077","Velachery",1531,180,2,1,4,"Normal Sale","Yes","Commercial","NoSeWa","Gravel","RM",4.42,299815,14990730,19710,382.75,4347313,"3","4","3","Velachery.Commercial","Commercial.3","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"1201","T Nagar",1734,28,1,1,4,"AbNormal","No","Commercial","NoSewr ","Paved","RL",3.495,227027,18918950,16425,433.5,7037849,"3","1","3","T Nagar.Commercial","Commercial.3","Commercial.4","Commercial.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"6709","Chrompet",940,160,1,1,3,"AbNormal","No","Commercial","ELO","NoAccess","RL",3.44,167096,10443500,12410,313.333333333333,2798858,"1","4","2","Chrompet.Commercial","Commercial.1","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3352","Karapakkam",1145,145,1,1,3,"AbNormal","Yes","Commercial","NoSewr ","NoAccess","I",3.56,92555,9255500,5110,381.666666666667,4174235,"2","3","1","Karapakkam.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"6644","Karapakkam",1357,34,2,2,4,"AbNormal","No","Commercial","NoSewr ","Paved","RL",3.95,235195,11199750,6205,339.25,3964714,"2","1","1","Karapakkam.Commercial","Commercial.2","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5043","Anna Nagar",1991,106,2,1,5,"AdjLand","Yes","Others","AllPub","NoAccess","RH",4.155,116378,14547240,12045,398.2,4305986,"3","3","2","Anna Nagar.Others","Others.3","Others.5","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"4433","Adyar",988,137,1,1,3,"AbNormal","Yes","House","ELO","NoAccess","C",3.54,103224,6881585,6935,329.333333333333,1961256,"1","3","1","Adyar.House","House.1","House.3","House.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2119","Chrompet",916,181,1,1,3,"Normal Sale","Yes","Commercial","NoSewr ","NoAccess","RM",3.61,200026,12501600,4380,305.333333333333,3575458,"1","4","1","Chrompet.Commercial","Commercial.1","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"3700","Karapakkam",506,145,1,1,2,"AbNormal","No","Commercial","NoSewr ","NoAccess","RM",3.52,58673,6519250,9855,253,2346932,"1","3","2","Karapakkam.Commercial","Commercial.1","Commercial.2","Commercial.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6094","Chrompet",1088,193,1,1,3,"Partial","No","House","NoSeWa","Paved","RH",3.56,45154,7525650,6935,362.666666666667,1941616,"2","4","1","Chrompet.House","House.2","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5155","Velachery",1960,8,3,2,5,"AdjLand","No","House","AllPub","Gravel","RL",4.93,114012,11401230,8760,392,3602790,"3","1","2","Velachery.House","House.3","House.5","House.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"2659","Adyar",865,143,1,1,3,"AbNormal","Yes","House","AllPub","Paved","RM",3.73,69865,9980680,4380,288.333333333333,3662908,"1","3","1","Adyar.House","House.1","House.3","House.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"6087","Velachery",1743,6,2,1,4,"AdjLand","Yes","Others","NoSeWa","Gravel","A",3.87,93924,9392380,16060,435.75,2629863,"3","1","3","Velachery.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"2650","Velachery",1938,154,3,2,5,"AdjLand","Yes","Commercial","NoSewr ","NoAccess","RH",4.02,190836,15903000,14600,387.6,4484646,"3","4","2","Velachery.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6074","Chrompet",870,171,1,1,3,"Family","Yes","House","NoSeWa","NoAccess","RM",3,40847,8169350,12045,290,2246576,"1","4","2","Chrompet.House","House.1","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"1479","Adyar",953,63,1,1,3,"Partial","Yes","Others","NoSeWa","Paved","I",3.32,16467,8233645,8395,317.666666666667,2980581,"1","2","2","Adyar.Others","Others.1","Others.3","Others.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"4997","Anna Nagar",1549,65,1,1,4,"Partial","No","Others","ELO","Gravel","RH",3.495,71197,11866220,1825,387.25,3809059,"3","2","1","Anna Nagar.Others","Others.3","Others.4","Others.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"405","Anna Nagar",1625,192,1,1,4,"AdjLand","Yes","Commercial","AllPub","NoAccess","RH",4.475,128213,18316110,15695,406.25,6392321,"3","4","3","Anna Nagar.Commercial","Commercial.3","Commercial.4","Commercial.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"6172","T Nagar",1914,105,2,1,5,"Partial","Yes","House","ELO","NoAccess","RM",2.445,147500,13409070,5840,382.8,4974767,"3","3","1","T Nagar.House","House.3","House.5","House.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5489","Chrompet",1094,112,1,1,3,"Normal Sale","No","Commercial","AllPub","Paved","RH",3.64,132387,12035150,10585,364.666666666667,3273558,"2","3","2","Chrompet.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3587","Karapakkam",804,179,1,1,2,"Normal Sale","Yes","Others","NoSewr ","NoAccess","I",3.6,147594,5903750,2555,402,2272944,"1","4","1","Karapakkam.Others","Others.1","Others.2","Others.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
