"","AREA","INT_SQFT","DIST_MAINROAD","N_BEDROOM","N_BATHROOM","N_ROOM","SALE_COND","PARK_FACIL","BUILDTYPE","UTILITY_AVAIL","STREET","MZZONE","QS_OVERALL","COMMIS","SALES_PRICE","total_yrs","avg_sqft","oth_chgs","bin_insq","bin_dist","bin_ttl_yrs","ARBT","INBT","TRBT","BRBT","Chrompet.2","Karapakkam.2","Adyar.3","Chrompet.3","Karapakkam.3","KK Nagar.3","Adyar.4","Anna Nagar.4","Chrompet.4","Karapakkam.4","KK Nagar.4","T Nagar.4","Velachery.4","Anna Nagar.5","KK Nagar.5","T Nagar.5","Velachery.5","KK Nagar.6","2.2","3.2","1.3","2.3","3.3","1.4","2.4","3.4","1.5","2.5","3.5","2.6","3.6"
"40","Adyar",904,52,1,1,3,"AdjLand","No","Commercial","ELO","NoAccess","RM",3.08,23203,11601400,14600,301.333333333333,3155581,"1","2","2","Adyar.Commercial","Commercial.1","Commercial.3","Commercial.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"44","Karapakkam",507,49,1,1,2,"AbNormal","Yes","House","ELO","Gravel","RH",4,74464,5728000,16790,253.5,2342752,"1","1","3","Karapakkam.House","House.1","House.2","House.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","T Nagar",1882,189,2,1,5,"AbNormal","Yes","Others","ELO","Gravel","RM",3.37945317032916,272877,16051580,7665,376.4,4173414,"3","4","2","T Nagar.Others","Others.3","Others.5","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"50","Adyar",779,51,1,1,2,"Normal Sale","No","House","NoSewr ","NoAccess","C",3.16,31744,5290635,3285,389.5,1745911,"1","2","1","Adyar.House","House.1","House.2","House.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","KK Nagar",1926,49,3,2,5,"Family","Yes","Commercial","NoSeWa","Paved","RM",3.68,153061,17006780,3285,385.2,7499986,"3","1","1","KK Nagar.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"56","Karapakkam",545,154,1,1,2,"Partial","No","Others","ELO","NoAccess","RH",2.95,88651,3854375,10950,272.5,1580293,"1","4","2","Karapakkam.Others","Others.1","Others.2","Others.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"62","Karapakkam",1691,100,2,2,4,"AbNormal","No","House","NoSeWa","Gravel","RM",3.77,178576,9398750,11315,422.75,3054598,"3","2","2","Karapakkam.House","House.3","House.4","House.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"64","T Nagar",1577,23,1,1,4,"Partial","Yes","Others","NoSeWa","Paved","RH",4.07,193397,12087330,13140,394.25,2913044,"3","1","2","T Nagar.Others","Others.3","Others.4","Others.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"67","Velachery",1579,58,2,1,4,"AbNormal","Yes","Commercial","ELO","Paved","I",2.88,240565,13364730,8760,394.75,4450459,"3","2","2","Velachery.Commercial","Commercial.3","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"70","KK Nagar",2174,48,3,2,5,"Family","Yes","Others","AllPub","Paved","RM",2.42,313674,13069740,8395,434.8,5254035,"4","1","2","KK Nagar.Others","Others.4","Others.5","Others.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"77","Karapakkam",1378,192,2,2,4,"AdjLand","No","Others","NoSewr ","Gravel","RM",3.14,208268,9917500,3285,344.5,2885993,"2","4","1","Karapakkam.Others","Others.2","Others.4","Others.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"78","Karapakkam",898,72,1,1,3,"Partial","Yes","Commercial","NoSewr ","Paved","RH",2.49,215744,8629750,10585,299.333333333333,3322454,"1","2","2","Karapakkam.Commercial","Commercial.1","Commercial.3","Commercial.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"80","Chrompet",1233,24,2,1,4,"AbNormal","No","House","NoSeWa","Gravel","RM",2.84,107989,9817150,12045,308.25,2316850,"2","1","2","Chrompet.House","House.2","House.4","House.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"84","Karapakkam",1693,187,2,2,4,"Normal Sale","Yes","Commercial","NoSewr ","Gravel","C",3.36,166420,12801500,2190,423.25,3622825,"3","4","1","Karapakkam.Commercial","Commercial.3","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"87","Chrompet",1085,149,1,1,3,"AbNormal","Yes","Commercial","NoSewr ","Gravel","RL",3.08804761024919,100545,14363500,2190,361.666666666667,3590880,"2","3","1","Chrompet.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"89","Adyar",692,62,1,1,2,"Normal Sale","Yes","Commercial","AllPub","Paved","RH",4.61,124576,10381355,13505,346,3674995,"1","2","2","Adyar.Commercial","Commercial.1","Commercial.2","Commercial.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"96","T Nagar",1659,103,1,1,4,"AdjLand","Yes","Others","NoSeWa","NoAccess","RL",3.425,216625,13539080,6570,414.75,4115884,"3","3","1","T Nagar.Others","Others.3","Others.4","Others.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"100","Chrompet",1089,0,1,1,3,"Normal Sale","Yes","House","ELO","Paved","RL",2.9,45251,9050200,11680,363,2162996,"2","1","2","Chrompet.House","House.2","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"101","Velachery",1534,6,2,1,4,"Partial","Yes","Others","ELO","Paved","C",3.94,63234,7904210,19345,383.5,2624202,"3","1","3","Velachery.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"106","Velachery",1950,185,3,2,5,"AdjLand","Yes","Others","NoSeWa","Paved","RL",4.16,84741,12105920,14965,390,3789150,"3","4","3","Velachery.Others","Others.3","Others.5","Others.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"109","KK Nagar",1496,135,2,1,4,"Family","No","House","NoSewr ","Gravel","RH",3.22,137105,8569080,5110,374,2527874,"2","3","1","KK Nagar.House","House.2","House.4","House.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"114","Anna Nagar",1622,79,1,1,4,"AdjLand","Yes","House","NoSeWa","Paved","RM",2.475,243860,13547790,2555,405.5,3901766,"3","2","1","Anna Nagar.House","House.3","House.4","House.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"115","Chrompet",1092,89,1,1,3,"Normal Sale","No","Others","AllPub","NoAccess","RH",2.28,57491,8213040,1460,364,2275010,"2","2","1","Chrompet.Others","Others.2","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"122","Chrompet",764,137,1,1,2,"Partial","No","House","ELO","NoAccess","RH",2.9,90723,5670200,2920,382,1519617,"1","3","1","Chrompet.House","House.1","House.2","House.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"123","Chrompet",1135,50,1,1,3,"AbNormal","No","Others","NoSewr ","NoAccess","RM",3.45,148051,9253200,8395,378.333333333333,2812969,"2","1","2","Chrompet.Others","Others.2","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"128","Chrompet",884,75,1,1,3,"Normal Sale","No","Commercial","NoSewr ","NoAccess","RM",2.93,45346,11336400,1460,294.666666666667,2596036,"1","2","1","Chrompet.Commercial","Commercial.1","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"129","Anna Nagar",1640,113,1,1,4,"AdjLand","No","Commercial","ELO","NoAccess","RH",3.05,194718,17701600,1825,410,4655523,"3","3","1","Anna Nagar.Commercial","Commercial.3","Commercial.4","Commercial.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"132","KK Nagar",2413,166,4,2,6,"AbNormal","No","Others","NoSeWa","Paved","RM",2.63,170587,13122040,3285,402.166666666667,3949732,"4","4","1","KK Nagar.Others","Others.4","Others.6","Others.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"140","Karapakkam",926,98,1,1,3,"Family","No","House","ELO","Gravel","RL",3.89,68770,6877000,7300,308.666666666667,2668276,"1","2","1","Karapakkam.House","House.1","House.3","House.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"145","Adyar",1081,85,1,1,3,"Family","No","House","AllPub","NoAccess","C",3.27,6190,6190150,10950,360.333333333333,2178934,"2","2","2","Adyar.House","House.2","House.3","House.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"146","Karapakkam",1352,1,2,2,4,"Normal Sale","Yes","House","ELO","Gravel","A",2.9,123638,6507250,9855,338,2290550,"2","1","2","Karapakkam.House","House.2","House.4","House.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"147","KK Nagar",1986,109,3,2,5,"Normal Sale","No","House","AllPub","Gravel","RM",4.39,227008,11350400,10950,397.2,4517461,"3","3","2","KK Nagar.House","House.3","House.5","House.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"148","Anna Nagar",1758,164,1,1,4,"Partial","Yes","Commercial","AllPub","NoAccess","RL",3.55,231426,19285540,15330,439.5,6653511,"3","4","3","Anna Nagar.Commercial","Commercial.3","Commercial.4","Commercial.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"150","KK Nagar",2139,136,3,2,5,"Normal Sale","Yes","Others","NoSewr ","Paved","RL",2.88,249440,12472000,7665,427.8,4065872,"4","3","2","KK Nagar.Others","Others.4","Others.5","Others.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"154","Chrompet",928,90,1,1,3,"Partial","Yes","Commercial","AllPub","Gravel","RH",3.26,62119,12423800,1460,309.333333333333,3751984,"1","2","1","Chrompet.Commercial","Commercial.1","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"159","KK Nagar",1593,9,2,1,4,"Partial","No","Others","AllPub","Paved","RH",3.6,223670,8946800,6205,398.25,3847124,"3","1","1","KK Nagar.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"164","Adyar",656,20,1,1,2,"AbNormal","No","Commercial","AllPub","Paved","I",2.96,113849,8757635,3285,328,2636045,"1","1","1","Adyar.Commercial","Commercial.1","Commercial.2","Commercial.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"167","Velachery",1898,108,3,2,5,"AdjLand","Yes","Commercial","ELO","NoAccess","RM",3.51,332357,16617860,13870,379.6,5566982,"3","3","2","Velachery.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"168","Anna Nagar",1698,15,1,1,4,"Family","No","House","NoSeWa","Gravel","RM",4.215,198593,12412050,14600,424.5,3438134,"3","1","2","Anna Nagar.House","House.3","House.4","House.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"171","Anna Nagar",1506,122,1,1,4,"Family","No","House","ELO","NoAccess","RM",3.055,177648,10449910,12045,376.5,3939612,"3","3","2","Anna Nagar.House","House.3","House.4","House.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"172","Chrompet",1020,95,1,1,3,"Family","No","House","NoSeWa","NoAccess","RM",3.45,31794,7948600,8760,340,1891770,"2","2","2","Chrompet.House","House.2","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"177","Karapakkam",1445,20,2,2,4,"Family","No","House","NoSeWa","NoAccess","I",3.34,87848,5856500,8760,361.25,2038067,"2","1","2","Karapakkam.House","House.2","House.4","House.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"178","Anna Nagar",1919,178,2,1,5,"Partial","Yes","House","NoSeWa","Gravel","RM",3.41,117633,14704160,4745,383.8,5014119,"3","4","1","Anna Nagar.House","House.3","House.5","House.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"180","Karapakkam",857,158,1,1,2,"Normal Sale","No","House","ELO","Paved","I",3.16,59139,4928250,6205,428.5,2188143,"1","4","1","Karapakkam.House","House.1","House.2","House.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"186","Karapakkam",613,81,1,1,2,"Family","No","Commercial","NoSewr ","NoAccess","I",3.59,66879,5144500,10950,306.5,1826298,"1","2","2","Karapakkam.Commercial","Commercial.1","Commercial.2","Commercial.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"189","Karapakkam",795,73,1,1,2,"AbNormal","Yes","House","NoSewr ","Gravel","RM",3.76,127189,8479250,3285,397.5,2416591,"1","2","1","Karapakkam.House","House.1","House.2","House.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"191","Chrompet",1252,190,2,1,4,"Family","No","House","AllPub","NoAccess","RM",4.42,47411,9482200,4380,313,2436929,"2","4","1","Chrompet.House","House.2","House.4","House.2",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"193","KK Nagar",1524,73,2,1,4,"Normal Sale","No","Others","NoSewr ","Paved","RH",3.01,208220,8675820,9855,381,2941106,"3","2","2","KK Nagar.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"194","Chrompet",1049,36,1,1,3,"Partial","Yes","House","ELO","Gravel","RM",4.24,133412,10262450,4015,349.666666666667,3088994,"2","1","1","Chrompet.House","House.2","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"195","Velachery",1780,194,2,1,4,"AbNormal","No","Others","AllPub","Gravel","C",2.95,130066,8671050,20075,445,3095566,"3","4","3","Velachery.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"197","Chrompet",906,116,1,1,3,"Partial","Yes","House","NoSewr ","Gravel","RM",3.76,28394,9464800,11680,302,2754260,"1","3","2","Chrompet.House","House.1","House.3","House.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"198","KK Nagar",2344,71,4,2,6,"AbNormal","No","Commercial","NoSeWa","Gravel","RM",4.19,471247,18849880,8760,390.666666666667,6069661,"4","2","2","KK Nagar.Commercial","Commercial.4","Commercial.6","Commercial.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
"199","Adyar",929,76,1,1,3,"AdjLand","Yes","Others","NoSeWa","Paved","RH",2.53,75843,9480425,5475,309.666666666667,3147498,"1","2","1","Adyar.Others","Others.1","Others.3","Others.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"201","Anna Nagar",1918,187,2,1,5,"Partial","Yes","Commercial","AllPub","Gravel","RL",2.665,218751,21875050,12775,383.6,7503144,"3","4","2","Anna Nagar.Commercial","Commercial.3","Commercial.5","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"206","Karapakkam",1627,39,2,2,4,"Normal Sale","Yes","Others","ELO","Paved","RH",3.61,99782,9071125,10950,406.75,2875544,"3","1","2","Karapakkam.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"210","Velachery",1780,115,2,1,4,"Family","Yes","Commercial","NoSeWa","NoAccess","C",3.52,173507,13346700,9125,445,4257599,"3","3","2","Velachery.Commercial","Commercial.3","Commercial.4","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"211","Karapakkam",662,148,1,1,2,"Partial","No","Commercial","NoSeWa","NoAccess","C",3.4,65348,4356500,13870,331,1359233,"1","3","2","Karapakkam.Commercial","Commercial.1","Commercial.2","Commercial.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"215","Adyar",878,16,1,1,3,"Partial","Yes","House","NoSewr ","Paved","A",4.66,6453,6452785,6935,292.666666666667,2039076,"1","1","1","Adyar.House","House.1","House.3","House.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"217","Chrompet",911,84,1,1,3,"Partial","Yes","Others","ELO","NoAccess","RH",3.26,37139,7427820,12045,303.666666666667,2243201,"1","2","2","Chrompet.Others","Others.1","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"226","KK Nagar",1961,104,3,2,5,"AbNormal","Yes","Commercial","NoSeWa","Gravel","RM",2.66,387484,17612900,5475,392.2,7520713,"3","3","1","KK Nagar.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"229","Velachery",1864,187,3,2,5,"Partial","No","Commercial","ELO","Gravel","RH",3.71,181207,15100560,8395,372.8,4937887,"3","4","2","Velachery.Commercial","Commercial.3","Commercial.5","Commercial.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"232","Anna Nagar",1700,135,1,1,4,"Normal Sale","Yes","Others","NoSewr ","NoAccess","RH",3.14,174679,12477040,11680,425,3992650,"3","3","2","Anna Nagar.Others","Others.3","Others.4","Others.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"240","Velachery",1716,86,2,1,4,"Family","Yes","House","ELO","Paved","RL",2.67,155398,10359860,2920,429,3884944,"3","2","1","Velachery.House","House.3","House.4","House.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"242","KK Nagar",1699,98,2,1,4,"Normal Sale","Yes","Others","NoSeWa","Gravel","RL",3.12,125885,11444100,5840,424.75,4245761,"3","2","1","KK Nagar.Others","Others.3","Others.4","Others.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"248","Anna Nagar",1976,112,2,1,5,"Partial","No","House","NoSeWa","Paved","RL",3.355,110700,12300050,14600,395.2,3431718,"3","3","2","Anna Nagar.House","House.3","House.5","House.2",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"249","Velachery",1776,120,2,1,4,"Normal Sale","Yes","House","NoSeWa","Paved","RH",2.92000159980359,89903,9989170,7665,444,2966780,"3","3","2","Velachery.House","House.3","House.4","House.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"251","Chrompet",1160,138,1,1,3,"AdjLand","Yes","Others","AllPub","NoAccess","RH",3.49,104103,9463900,10950,386.666666666667,2403828,"2","3","2","Chrompet.Others","Others.2","Others.3","Others.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"253","T Nagar",1887,48,2,1,5,"AdjLand","No","Commercial","NoSewr ","NoAccess","RL",2.775,348491,20499450,7300,377.4,5514356,"3","1","1","T Nagar.Commercial","Commercial.3","Commercial.5","Commercial.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"255","Chrompet",747,168,1,1,2,"Family","Yes","Commercial","AllPub","NoAccess","RM",3.36,157130,11223550,1825,373.5,3187493,"1","4","1","Chrompet.Commercial","Commercial.1","Commercial.2","Commercial.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"256","Adyar",985,159,1,1,3,"Partial","Yes","House","NoSeWa","Paved","C",2.67,44277,7379505,2555,328.333333333333,2435235,"1","4","1","Adyar.House","House.1","House.3","House.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"257","Chrompet",1024,77,1,1,3,"Normal Sale","Yes","Commercial","AllPub","NoAccess","RH",3.15,108823,12091400,5840,341.333333333333,2829388,"2","2","1","Chrompet.Commercial","Commercial.2","Commercial.3","Commercial.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
